date,market_state_base,regime_confidence_base,p_bull_base,p_chop_base,p_bear_base,transition_risk_base,breadth_base,vix_base,macro_score_base,news_bias_base,suppression_score_base,portfolio_return_base,gross_exposure_base,net_exposure_base,market_state_dexter,regime_confidence_dexter,p_bull_dexter,p_chop_dexter,p_bear_dexter,transition_risk_dexter,breadth_dexter,vix_dexter,macro_score_dexter,news_bias_dexter,suppression_score_dexter,portfolio_return_dexter,gross_exposure_dexter,net_exposure_dexter,turnover_base,turnover_dexter,extra_turnover,extra_friction_cost,return_delta,defensive_shift,false_defensive_roundtrip,clears_friction_gate
2019-12-06,CHOP,1.0,0.9675552493037616,0.026262238809328,0.0061825118869105,0.0135195419041021,0.1876936697653829,14.3100004196167,0.0283409633792198,0.0,0.0,-0.0043538695965356,1.0,0.7483997878200501,CHOP,1.0,0.9675552493037616,0.026262238809328,0.0061825118869105,0.0135195419041021,0.1876936697653829,14.3100004196167,0.0283409633792198,0.0,0.0,-0.0043538695965356,1.0,0.7483997878200501,0.0,0.0,0.0,0.0,0.0,False,False,False
2019-12-13,CHOP,0.8558314350708012,0.947065722353268,0.0387799843493835,0.0141542932973482,0.1109751311749356,0.1646746347941567,13.350000381469728,-0.0242737631902838,-0.3794754408592385,0.4416856492919877,0.0022916623863948,1.0,0.7557635278597262,CHOP,0.8558314350708012,0.947065722353268,0.0387799843493835,0.0141542932973482,0.1109751311749356,0.1646746347941567,13.350000381469728,-0.0242737631902838,-0.3794754408592385,0.4416856492919877,0.0022916623863948,1.0,0.7557635278597262,1.260306158385288,1.260306158385288,0.0,0.0,0.0,False,False,False
2019-12-20,CHOP,1.0,0.9618395836387462,0.0296523070851488,0.0085081092761051,0.1100779733632291,0.183709606020363,12.119999885559082,0.0022645914328958,-0.1585496100149629,0.4704801532864614,0.0080573199649143,1.0,0.7319042784753966,CHOP,1.0,0.9618395836387462,0.0296523070851488,0.0085081092761051,0.1100779733632291,0.183709606020363,12.119999885559082,0.0022645914328958,-0.1585496100149629,0.4704801532864614,0.0080573199649143,1.0,0.7319042784753966,1.0159130759134292,1.0159130759134292,0.0,0.0,0.0,False,False,False
2019-12-27,CHOP,0.8621811093784684,0.974046405734952,0.0216850771601821,0.0042685171048658,0.0871752734603387,0.1925630810092961,11.119999885559082,1.2832964036240992,0.0777116179481217,0.3781889062153168,0.0193715401005404,1.0,0.7591620671161381,CHOP,0.8621811093784684,0.974046405734952,0.0216850771601821,0.0042685171048658,0.0871752734603387,0.1925630810092961,11.119999885559082,1.2832964036240992,0.0777116179481217,0.3781889062153168,0.0193715401005404,1.0,0.7591620671161381,1.199476939128178,1.199476939128178,0.0,0.0,0.0,False,False,False
2020-01-03,CHOP,0.9,0.985684029239897,0.0125299121638162,0.0017860585962869,0.0084573364485032,0.2421425409473218,11.489999771118164,1.3083171447005997,0.2559272700322069,0.0,0.0051540298121256,1.0,0.7542945035697092,CHOP,0.9,0.985684029239897,0.0125299121638162,0.0017860585962869,0.0084573364485032,0.2421425409473218,11.489999771118164,1.3083171447005997,0.2559272700322069,0.0,0.0051540298121256,1.0,0.7542945035697092,1.1749849141419406,1.1749849141419406,0.0,0.0,0.0,False,False,False
2020-01-10,CHOP,0.7902991022707679,0.9657029784982212,0.0275010405881512,0.0067959809136275,0.2172100733168352,0.2501106684373617,14.0,1.1815324268603495,-0.5087082908493787,1.0,0.0310191015310271,0.6839482256662796,0.6839482256662796,CHOP,0.7902991022707679,0.9657029784982212,0.0275010405881512,0.0067959809136275,0.2172100733168352,0.2501106684373617,14.0,1.1815324268603495,-0.5087082908493787,1.0,0.0310191015310271,0.6839482256662796,0.6839482256662796,1.2950565584151468,1.2950565584151468,0.0,0.0,0.0,False,False,False
2020-01-17,CHOP,0.9,0.9840879722479812,0.0141441296326305,0.0017678981193881,0.0118092323616733,0.3235945108455069,14.18000030517578,1.2805631662149553,0.1481240574301381,0.0,-0.0041143134617239,1.0,0.7435356809422977,CHOP,0.9,0.9840879722479812,0.0141441296326305,0.0017678981193881,0.0118092323616733,0.3235945108455069,14.18000030517578,1.2805631662149553,0.1481240574301381,0.0,-0.0041143134617239,1.0,0.7435356809422977,1.3670741096436354,1.3670741096436354,0.0,0.0,0.0,False,False,False
2020-01-24,CHOP,1.0,0.9509509251922798,0.0392311967361852,0.0098178780715349,0.1143244943147839,0.3213811420982735,15.859999656677246,-0.0014602841439624,-0.1545565642268301,0.4381971628193361,-0.0068810183314451,1.0,0.75,CHOP,1.0,0.9509509251922798,0.0392311967361852,0.0098178780715349,0.1143244943147839,0.3213811420982735,15.859999656677246,-0.0014602841439624,-0.1545565642268301,0.4381971628193361,-0.0068810183314451,1.0,0.75,1.5139995770589882,1.5139995770589882,0.0,0.0,0.0,False,False,False
2020-01-31,CHOP,0.8362583901693349,0.9321540406999256,0.0518881643015671,0.015957794998507,0.1527025685426058,0.3050022133687472,16.799999237060547,-0.0053977792975937,-0.1596900943733232,0.6374160983066512,0.0115586200503455,0.7314620697250978,0.7314620697250978,CHOP,0.8362583901693349,0.9321540406999256,0.0518881643015671,0.015957794998507,0.1527025685426058,0.3050022133687472,16.799999237060547,-0.0053977792975937,-0.1596900943733232,0.6374160983066512,0.0115586200503455,0.7314620697250978,0.7314620697250978,1.3143222758507132,1.3143222758507132,0.0,0.0,0.0,False,False,False
2020-02-07,CHOP,0.9,0.968757885815929,0.026165085080088,0.0050770291039829,0.0237355589598122,0.2895086321381142,13.779999732971191,0.0400044339705407,0.0504907357196352,0.0,-0.0072988856583516,1.0,0.7499999999999999,CHOP,0.9,0.968757885815929,0.026165085080088,0.0050770291039829,0.0237355589598122,0.2895086321381142,13.779999732971191,0.0400044339705407,0.0504907357196352,0.0,-0.0072988856583516,1.0,0.7499999999999999,1.133262300675417,1.133262300675417,0.0,0.0,0.0,False,False,False
